year,county,prod_mibu
2024,OTHER COUNTIES,4.8256
2024,HOUSTON,0.0818
2024,WASHINGTON,0.178
2024,BURKE,0.086
2024,ELBERT,0.0611
2024,FLOYD,0.0884
2024,GORDON,0.128
2024,BROOKS,0.6
2024,COFFEE,0.103
2024,WORTH,0.166
2024,APPLING,0.0827
2024,TATTNALL,0.0984
2024,GRADY,0.183
2024,RANDOLPH,0.415
2024,SEMINOLE,0.162
2024,THOMAS,0.141
2024,MACON,0.214
2023,OTHER COUNTIES,3.5795
2023,BLECKLEY,0.293
2023,HOUSTON,0.065
2023,LAURENS,0.273
2023,EMANUEL,0.0995
2023,JEFFERSON,0.15
2023,FRANKLIN,0.0299
2023,HART,0.165
2023,BROOKS,0.524
2023,WILCOX,0.0386
2023,PIERCE,0.109
2023,TOOMBS,0.0776
2023,GRADY,0.153
2023,RANDOLPH,0.412
2023,SEMINOLE,0.229
2023,THOMAS,0.096
2023,WEBSTER,0.0214
2023,MACON,0.268
2023,MARION,0.0273
2023,TAYLOR,0.0542
2022,OTHER COUNTIES,4.1276
2022,HOUSTON,0.0734
2022,LAURENS,0.248
2022,PEACH,0.0724
2022,BURKE,0.123
2022,EMANUEL,0.101
2022,ELBERT,0.0531
2022,GORDON,0.18
2022,BROOKS,0.402
2022,COFFEE,0.0874
2022,COOK,0.088
2022,JEFF DAVIS,0.0635
2022,APPLING,0.0641
2022,GRADY,0.162
2022,RANDOLPH,0.278
2022,TERRELL,0.142
2022,THOMAS,0.0917
2022,MARION,0.033
2022,TAYLOR,0.0878
2021,OTHER COUNTIES,4.2371
2021,JOHNSON,0.113
2021,LAURENS,0.278
2021,BURKE,0.0958
2021,EMANUEL,0.0777
2021,JEFFERSON,0.172
2021,ELBERT,0.079
2021,CHATTOOGA,0.041
2021,FLOYD,0.0747
2021,WALKER,0.0656
2021,BROOKS,0.317
2021,COOK,0.0381
2021,LOWNDES,0.0288
2021,BACON,0.007
2021,TOOMBS,0.0623
2021,LEE,0.0507
2021,TERRELL,0.104
2021,THOMAS,0.0387
2021,MACON,0.279
2021,MARION,0.0505
2020,OTHER COUNTIES,2.1655
2020,LAURENS,0.209
2020,PEACH,0.0505
2020,WASHINGTON,0.101
2020,BURKE,0.06
2020,EMANUEL,0.128
2020,JEFFERSON,0.207
2020,SCREVEN,0.0433
2020,ELBERT,0.0896
2020,HART,0.156
2020,MADISON,0.0268
2020,CHATTOOGA,0.0252
2020,DOOLY,0.0894
2020,LOWNDES,0.0319
2020,BACON,0.0117
2020,WARE,0.0173
2020,GRADY,0.0698
2020,RANDOLPH,0.234
2020,MACON,0.179
2019,EMANUEL,0.0357
2019,JEFFERSON,0.146
2019,OTHER (COMBINED) COUNTIES,0.1563
2019,OTHER (COMBINED) COUNTIES,0.055
2019,ELBERT,0.0592
2019,HART,0.0813
2019,OTHER (COMBINED) COUNTIES,0.0785
2019,BARTOW,0.0151
2019,CHATTOOGA,0.0283
2019,OTHER (COMBINED) COUNTIES,0.2746
2019,BROOKS,0.141
2019,COFFEE,0.0151
2019,OTHER (COMBINED) COUNTIES,0.2669
2019,OTHER (COMBINED) COUNTIES,0.46
2019,MACON,0.0341
2019,OTHER (COMBINED) COUNTIES,0.0829
2018,OTHER (COMBINED) COUNTIES,0.8581
2018,PEACH,0.0579
2018,EMANUEL,0.0598
2018,JEFFERSON,0.221
2018,JENKINS,0.0115
2018,OTHER (COMBINED) COUNTIES,0.3027
2018,ELBERT,0.125
2018,HART,0.175
2018,OGLETHORPE,0.0335
2018,OTHER (COMBINED) COUNTIES,0.1585
2018,CHATTOOGA,0.0353
2018,OTHER (COMBINED) COUNTIES,0.6547
2018,COLQUITT,0.0457
2018,OTHER (COMBINED) COUNTIES,0.6913
2018,LEE,0.0534
2018,MITCHELL,0.0541
2018,OTHER (COMBINED) COUNTIES,0.4007
2018,RANDOLPH,0.211
2018,SEMINOLE,0.0445
2018,THOMAS,0.0783
